"date","close"
2009-09-17,1.4714
2009-09-18,1.47422
2009-09-21,1.4698
2009-09-22,1.46755
2009-09-23,1.47876
2009-09-24,1.4733
2009-09-25,1.46565
2009-09-28,1.4694
2009-09-29,1.46195
2009-09-30,1.4585
2009-10-01,1.46316
2009-10-02,1.45353
2009-10-05,1.46031
2009-10-06,1.46473
2009-10-07,1.47202
2009-10-08,1.46873
2009-10-09,1.47907
2009-10-12,1.47222
2009-10-13,1.47724
2009-10-14,1.48536
2009-10-15,1.49253
2009-10-16,1.49404
2009-10-19,1.49048
2009-10-20,1.49676
2009-10-21,1.49368
2009-10-22,1.50091
2009-10-23,1.50231
2009-10-26,1.49914
2009-10-27,1.48688
2009-10-28,1.48
2009-10-29,1.47067
2009-10-30,1.48296
2009-11-02,1.47134
2009-11-03,1.47676
2009-11-04,1.47138
2009-11-05,1.48723
2009-11-06,1.48762
2009-11-09,1.48811
2009-11-10,1.49898
2009-11-11,1.49773
2009-11-12,1.49818
2009-11-13,1.48386
2009-11-16,1.49172
2009-11-17,1.49761
2009-11-18,1.48693
2009-11-19,1.49583
2009-11-20,1.49153
2009-11-23,1.48551
2009-11-24,1.49645
2009-11-25,1.49617
2009-11-26,1.51403
2009-11-27,1.50147
2009-11-30,1.5009
2009-12-01,1.5011
2009-12-02,1.50854
2009-12-03,1.50439
2009-12-04,1.50731
2009-12-07,1.4856
2009-12-08,1.48144
2009-12-09,1.47005
2009-12-10,1.47305
2009-12-11,1.47306
2009-12-14,1.46191
2009-12-15,1.46495
2009-12-16,1.45307
2009-12-17,1.45313
2009-12-18,1.4341
2009-12-21,1.43169
2009-12-22,1.42811
2009-12-23,1.42505
2009-12-24,1.43253
2009-12-25,1.43716
2009-12-28,1.43916
2009-12-29,1.43799
2009-12-30,1.43471
2009-12-31,1.43346
2010-01-01,1.43117
2010-01-04,1.43011
2010-01-05,1.4407
2010-01-06,1.43667
2010-01-07,1.44134
2010-01-08,1.43188
2010-01-11,1.44225
2010-01-12,1.45181
2010-01-13,1.44906
2010-01-14,1.45082
2010-01-15,1.44974
2010-01-18,1.43525
2010-01-19,1.43813
2010-01-20,1.43005
2010-01-21,1.41005
2010-01-22,1.40952
2010-01-25,1.41454
2010-01-26,1.41505
2010-01-27,1.40767
2010-01-28,1.40201
2010-01-29,1.3964
2010-02-01,1.38637
2010-02-02,1.39342
2010-02-03,1.39633
2010-02-04,1.38968
2010-02-05,1.37402
2010-02-08,1.36606
2010-02-09,1.36581
2010-02-10,1.37855
2010-02-11,1.37274
2010-02-12,1.36814
2010-02-15,1.36152
2010-02-16,1.35981
2010-02-17,1.37683
2010-02-18,1.361
